"year" "UF_tot" "UF_ant" "UF_nat"
"1" 1750.042 -0.00047 0 -0.000564
"2" 1750.125 -0.00319 -0.00133 -0.002232
"3" 1750.209 -0.0059 -0.00265 -0.0039
"4" 1750.292 -0.00861 -0.00398 -0.005556
"5" 1750.375 -0.01132 -0.0053 -0.007224
"6" 1750.459 -0.01403 -0.00663 -0.008892
"7" 1750.542 -0.01675 -0.00795 -0.010548
"8" 1750.625 -0.01946 -0.00928 -0.012216
"9" 1750.709 -0.02217 -0.01061 -0.013884
"10" 1750.792 -0.02488 -0.01193 -0.01554
"11" 1750.875 -0.0276 -0.01326 -0.017208
"12" 1750.959 -0.03031 -0.01458 -0.018876
"13" 1751.042 -0.03302 -0.01591 -0.020532
"14" 1751.125 -0.03473 -0.01602 -0.022452
"15" 1751.209 -0.0364 -0.01609 -0.024372
"16" 1751.292 -0.03806 -0.01615 -0.026292
"17" 1751.375 -0.03973 -0.01622 -0.028212
"18" 1751.459 -0.0414 -0.01628 -0.030144
"19" 1751.542 -0.04306 -0.01634 -0.032064
"20" 1751.625 -0.04473 -0.01641 -0.033984
"21" 1751.709 -0.0464 -0.01647 -0.035916
"22" 1751.792 -0.04806 -0.01654 -0.037836
"23" 1751.875 -0.04973 -0.0166 -0.039756
"24" 1751.959 -0.0514 -0.01666 -0.041676
"25" 1752.042 -0.05306 -0.01673 -0.043608
"26" 1752.125 -0.05364 -0.01679 -0.04422
"27" 1752.209 -0.05412 -0.01685 -0.044724
"28" 1752.292 -0.0546 -0.01692 -0.045216
"29" 1752.375 -0.05508 -0.01698 -0.04572
"30" 1752.459 -0.05556 -0.01704 -0.046224
"31" 1752.542 -0.05604 -0.0171 -0.046716
"32" 1752.625 -0.05652 -0.01717 -0.04722
"33" 1752.709 -0.05699 -0.01723 -0.047724
"34" 1752.792 -0.05747 -0.01729 -0.048216
"35" 1752.875 -0.05795 -0.01735 -0.04872
"36" 1752.959 -0.05843 -0.01742 -0.049212
"37" 1753.042 -0.05891 -0.01748 -0.049716
"38" 1753.125 -0.05991 -0.01754 -0.050844
"39" 1753.209 -0.06098 -0.0176 -0.052056
"40" 1753.292 -0.06205 -0.01766 -0.053268
"41" 1753.375 -0.06312 -0.01773 -0.05448
"42" 1753.459 -0.06419 -0.01779 -0.055692
"43" 1753.542 -0.06526 -0.01785 -0.056904
"44" 1753.625 -0.06633 -0.01791 -0.058104
"45" 1753.709 -0.06741 -0.01797 -0.059316
"46" 1753.792 -0.06848 -0.01803 -0.060528
"47" 1753.875 -0.06955 -0.01809 -0.06174
"48" 1753.959 -0.07062 -0.01816 -0.062952
"49" 1754.042 -0.07169 -0.01822 -0.064164
"50" 1754.125 -0.11642 -0.01829 -0.117756
"51" 1754.209 -0.16973 -0.01836 -0.181644
"52" 1754.292 -0.22304 -0.01843 -0.245532
